intent,text,reply
specific_praise/event,[助学贷款已经还完](event)啦！两万四千多,自立自强也太棒了吧！！宝你一定又有自制力又有意志力！！！以后想做什么都会成功吧！！
specific_praise/event,求夸赞，[工作八年买房了](event)，准备装修,好厉害！八年就能买房！
specific_praise/event,[放假](event)啦耶耶耶,年纪轻轻 ，并没有流连享乐，辛苦工作，努力生活。值得点赞
specific_praise/event,我[资助了一个贫困学生](event),楼主好棒！自己收到帮助也帮助别人！好人好报！
specific_praise/event,[工作四年半攒了20w](event),棒棒哒
specific_praise/event,[蛙泳能泳1km](event1)还[学会了自由泳](event2)啦！,哇唔！楼楼好厉害啊！！
specific_praise/event,整个试场[面试第一](event),哇塞，好牛！
specific_praise/others,比较奇葩的[90后](others),不准算虚岁
specific_praise/event,一个人去医院，[路上提醒了一个姐姐](event),很勇敢，也要保护好自己啊！
specific_praise/event,深夜多管闲事（[见义勇为](event)）问女生要不要帮忙,楼主是个好人！其他人也是正常的好人，over！
specific_praise/event,求表扬|我[开始我的副业](event)啦！,加油！
random_praise,近三年各方面失败，求安慰,不算失败呀，普通人的生活就是各种不容易！要专注自己，祝你接下来顺利！
random_praise,姐妹们，失恋哭了几个小时，哭出一条眼纹,有眼纹依然是美女
specific_praise/event,晚上要去[摆摊](event) 现在恐惧的身体要僵硬了,所以成功了吗？
specific_praise/event,[要债成功](event)！哦耶,欠债不还的都是流氓，你可是打败了流氓，打了一个场大仗。厉害厉害！
random_praise,买了半个西瓜花了七块钱被我妈说乱花钱？求安慰,她只是想省钱，可能你买啥她都会觉得，没必要，不要买，买了浪费，在乱花。这是一种心情，一种认知，一个观念。她只是表达了自己的心情，不代表你错，指责你。显然你们各有各的心情，你也想为家里付出，但是妈妈啥也不让你买。所以你知道了就行了，就像看见桌子是方的，树是绿的，知道了就是了。而不因为桌子是方的，就觉得受到伤害，因为树是绿的，就觉得凭什么，为什么。不知道我说明白了没有。树是绿的，没有对错，接受就好。桌子是方的，没有对错。妈妈想省钱，没有对错。你想给家里买东西，没有对错。
random_praise,好难过暴饮暴食胖,太难过了，所以什么让你吃点好吃的，抚慰自己。这也算好事吧！毕竟总好过深深自责，深陷被抛弃的绝望中而自SHA吧！听说过失恋而ZISHA的吧你逃过了一劫，好好抱抱自己，那么难，也在扛着。
specific_praise/event,[戒掉手游](event)！掌声在哪里,能戒掉游戏的人，能成大事。
specific_praise/event,[天降钱钱](event)，我可太开心了啊,哇哇哇哇，太棒了吧
specific_praise/event,成功向公司[要到了一整个暑假的假期](event)，求表扬^_^,哇太厉害了！努力终于有结果啦！假期可以好好歇一歇了
specific_praise/event,[得到国企神仙职务](event),好厉害哦棒棒
specific_praise/event,我[会盲打](event)诶,盲打厉害呀，能坚持看书也很棒
specific_praise/event,[坚持不喝酒、不抽烟](event)的第3天,加油加油！
specific_praise/event,我[收养了流浪猫](event)！,恭喜 你也是有猫的人啦感谢你有接纳ta成为你家一员的勇气，在这个夏天里让小猫咪有了家，不必避风躲雨 不需汲汲求食  与你相伴  世间许多可爱祝你们顺利解决所有想象中的困难，不会遇到更多麻烦，越来越好呀
specific_praise/event,[背完4级单词](event)，求表扬,好棒！你好自律我要向你学习。
specific_praise/event,我两个月[瘦了15斤](event)！夸夸我自己,你这个厉害了，好羡慕啊
random_praise,我过生日，爸妈都不记得了,生日快乐(′?｀)你越来越棒，每天都开心哇！
specific_praise/event,7月10号考试，现在[努力看书](event),祝你成功呀
specific_praise/event,今天[做翻译收到稿费](event)啦，可以夸夸我吗,谢谢你的祝福 分享你的快乐 开心！形成正循环真的是好快乐的事情哇 加油加油
specific_praise/event,鼓起勇气[辞职](event)了，重新开始生活,集美好棒！没有被世俗价值观影响超级勇敢
specific_praise/event,第五天[不抽烟喝酒](event),是的是的，抽烟喝酒没有什么流弊的。好多年纪小的，都觉得会抽烟喝酒，很装B，但是你已经脱离了不装B就会死的低级趣味，你已经不需要了。
specific_praise/event,跟朋友一起[制裁了插队的人](event),骂的挺有语言艺术感的。
specific_praise/event,我[参与编剧的电视剧上央视了](event)，夸我！,哇！太厉害啦∠(｀ω′*)
random_praise,求教，如何自然而然地夸人？,我觉得你今天很特别耶，特别可爱。夸别人与众不同，夸审美和眼光和选择，具体一点夸就会显得你情商高观察力好并且夸得很真心
random_praise,来，大家都进来夸夸自己,有脑子的美女一枚 很帅啦我就不一样啦 我专门早上出门捡捡漂亮的小花朵 这里一朵 那里一朵 哇塞 这朵好不一样 开心
random_praise,好看吗,天啊，太好看了吧
specific_praise/event,[戒酒戒烟](event)地第二天,牛哇牛哇！旗开得胜
specific_praise/event,我妈超棒，[60岁学会了开车](event),妈妈都是超人
random_praise,我感情里迷失了，可以夸夸我吗？,不知道你现在怎么样了，抱抱。我觉得我跟现在男朋友也不合适，难过大于开心，在一起经常自己委屈起来，哎
specific_praise/event,几个月了我[每天都发微博](event),谢谢你 在大家都忘记的时候还在坚持  太累的话就休息一下下吧  摸摸
random_praise,宝贝们可以夸夸我吗，我今天过得太难了,你好棒呀，你都这么辛苦了还在想解决办法，坐在椅子上工作而不是躺在沙发上，世上哪里找你这么棒的人呀！上坡路是辛苦的，你有拼搏的精神和行动的魄力，你一定可以的！我相信你！
random_praise,很难坚持去做一件事情，需要点鼓励继续冲,坚持不下来很正常呀，我们都是凡夫俗子，谁都有虚弱的时候，一点一点慢慢来，比前一刻的自己做得更好就行，集美加油
specific_praise/event,晚上睡不着[做了个小挂坠](event),平安无事牌  干干净净 每天背着包包，顺手摸一摸 美滋滋
random_praise,怎么让自己一个人多户外走动，少在家多交流,能不能喜欢上听书呀  一边听一边溜达会不会有意思一些 现在天亮的早 天气也好 早点出门买点早餐吧
specific_praise/event,[系统练字三个月](event)！求一些夸夸,不懂欣赏书法 只感觉横平竖直 笔墨均匀饱满  应该入门以上了吧 恭喜恭喜
specific_praise/event,大学还没毕业生病治疗父母没有给钱，[靠四年和实习攒的钱cover了全部的治疗费](event),厉害!
random_praise,持续失眠的第三个月,你的身体在悄悄变好！
specific_praise/event,2个月[瘦了10斤](event),控制碳水这么管用吗 好厉害  看看能不能稳定下来
random_praise,一个朋友都没有,敏感说明你是心思细腻的人！你能发现更多别人感受不到的细节！你觉得没有朋友可能是你对朋友的要求很严格！放轻松对待身边的人就当作是普通的朋友吧！朋友不只有交心一种！网友也是朋友哟！祝你今天开心！
specific_praise/event,今年一直在抽时间[学习](event)。,怎么会有这么棒的楼主呢！和你相比我简直相形见绌！希望lz成为全组员的榜样！
specific_praise/event,[运动](event1)两周[轻了几斤](event2)好开心！,好厉害！运动能坚持下来的都是神人，羡慕了！
specific_praise/others,夸一下[儿子](others)，一定会考上自己喜欢的大学。,棒哦  娃干劲满满呐  新的人生在等他  加油加油
specific_praise/event,第二次抓娃娃 十块钱[抓了三个娃娃](event),天降选手说的就是你了吧  快快代替广大搞不定的姐妹们赢回来
specific_praise/event,四分钟娃娃机[抓了两个娃娃](event) 可以夸夸我吗？,哇好棒呀！lz你抓娃娃技术好高呀～我这辈子也才只抓到过两个哈哈哈 这两个娃娃一定跟你一样可爱！
