intent,text,reply
random_praise,姐妹们，失恋哭了几个小时，哭出一条眼纹,有眼纹依然是美女
specific_praise_event,晚上要去[摆摊](verb) 现在恐惧的身体要僵硬了,所以成功了吗？
specific_praise_event,[要债](verb)[成功](adv)！哦耶,欠债不还的都是流氓，你可是打败了流氓，打了一个场大仗。厉害厉害！
specific_praise_event,[戒掉](verb)[手游](object)！掌声在哪里,能戒掉游戏的人，能成大事。
specific_praise_event,成功向公司[要到了](verb)一整个暑假的[假期](object)，求表扬^_^,哇太厉害了！努力终于有结果啦！假期可以好好歇一歇了
specific_praise_event,[得到](verb)国企神仙[职务](object),好厉害哦棒棒
specific_praise_event,我[会](verb)[盲打](object)诶,盲打厉害呀，能坚持看书也很棒
specific_praise_event,我[收养](verb)了[流浪猫](object)！,恭喜 你也是有猫的人啦感谢你有接纳ta成为你家一员的勇气，在这个夏天里让小猫咪有了家，不必避风躲雨 不需汲汲求食  与你相伴  世间许多可爱祝你们顺利解决所有想象中的困难，不会遇到更多麻烦，越来越好呀
specific_praise_event,[背完](verb)4级[单词](object)，求表扬,好棒！你好自律我要向你学习。
random_praise,我过生日，爸妈都不记得了,生日快乐(′?｀)你越来越棒，每天都开心哇！
specific_praise_event,7月10号考试，现在努力[看书](verb),祝你成功呀
specific_praise_event,今天做翻译[收到](verb)[稿费](object)啦，可以夸夸我吗,谢谢你的祝福 分享你的快乐 开心！形成正循环真的是好快乐的事情哇 加油加油
specific_praise_event,鼓起勇气[辞职](verb)了，重新开始生活,集美好棒！没有被世俗价值观影响超级勇敢
random_praise,求教，如何自然而然地夸人？,我觉得你今天很特别耶，特别可爱。夸别人与众不同，夸审美和眼光和选择，具体一点夸就会显得你情商高观察力好并且夸得很真心
random_praise,来，大家都进来夸夸自己,有脑子的美女一枚 很帅啦我就不一样啦 我专门早上出门捡捡漂亮的小花朵 这里一朵 那里一朵 哇塞 这朵好不一样 开心
specific_praise_event,[戒酒](verb)戒烟地第二天,牛哇牛哇！旗开得胜
specific_praise_others,[我妈](others)超棒，60岁学会了开车,妈妈都是超人
random_praise,我感情里迷失了，可以夸夸我吗？,不知道你现在怎么样了，抱抱。我觉得我跟现在男朋友也不合适，难过大于开心，在一起经常自己委屈起来，哎
specific_praise_event,几个月了我[每天](adv)都[发](verb)[微博](object),谢谢你 在大家都忘记的时候还在坚持  太累的话就休息一下下吧  摸摸
random_praise,宝贝们可以夸夸我吗，我今天过得太难了,你好棒呀，你都这么辛苦了还在想解决办法，坐在椅子上工作而不是躺在沙发上，世上哪里找你这么棒的人呀！上坡路是辛苦的，你有拼搏的精神和行动的魄力，你一定可以的！我相信你！
random_praise,很难坚持去做一件事情，需要点鼓励继续冲,坚持不下来很正常呀，我们都是凡夫俗子，谁都有虚弱的时候，一点一点慢慢来，比前一刻的自己做得更好就行，集美加油
specific_praise_event,晚上睡不着[做](verb)了个小[挂坠](object),平安无事牌  干干净净 每天背着包包，顺手摸一摸 美滋滋
random_praise,怎么让自己一个人多户外走动，少在家多交流,能不能喜欢上听书呀  一边听一边溜达会不会有意思一些 现在天亮的早 天气也好 早点出门买点早餐吧
specific_praise_event,系统[练字](verb)[三个月](adv)！求一些夸夸,不懂欣赏书法 只感觉横平竖直 笔墨均匀饱满  应该入门以上了吧 恭喜恭喜
random_praise,持续失眠的第三个月,你的身体在悄悄变好！
specific_praise_event,2个月[瘦](verb)了10斤,控制碳水这么管用吗 好厉害  看看能不能稳定下来
random_praise,一个朋友都没有,敏感说明你是心思细腻的人！你能发现更多别人感受不到的细节！你觉得没有朋友可能是你对朋友的要求很严格！放轻松对待身边的人就当作是普通的朋友吧！朋友不只有交心一种！网友也是朋友哟！祝你今天开心！
specific_praise_event,今年一直在抽时间[学习](verb)。,怎么会有这么棒的楼主呢！和你相比我简直相形见绌！希望lz成为全组员的榜样！
specific_praise_event,运动两周[轻](verb)了几斤好开心！,好厉害！运动能坚持下来的都是神人，羡慕了！
specific_praise_others,夸一下[儿子](others)，一定会考上自己喜欢的大学。,棒哦  娃干劲满满呐  新的人生在等他  加油加油
specific_praise_event,第二次抓娃娃 十块钱[抓了](verb)三个[娃娃](object),天降选手说的就是你了吧  快快代替广大搞不定的姐妹们赢回来
specific_praise_event,四分钟娃娃机[抓了](verb)两个[娃娃](object) 可以夸夸我吗？,哇好棒呀！lz你抓娃娃技术好高呀～我这辈子也才只抓到过两个哈哈哈 这两个娃娃一定跟你一样可爱！
